id	label	size
Eröffnung	Eröffnung	602
Innovating Africa	Innovating Africa	494
brand eins - Anja Ebersbach	brand eins - Anja Ebersbach	727
Aufruf zum metakulturellen Diskurs	Aufruf zum metakulturellen Diskurs	598
brand eins - Christoph Meinel	brand eins - Christoph Meinel	487
Iceland could have been innovative: Participatory democracy.	Iceland could have been innovative: Participatory democracy.	400
brand eins - Wolf Lotter	brand eins - Wolf Lotter	245
Ecstasy and Despair: How Powerful Emotions Trigger Digital Activism	Ecstasy and Despair: How Powerful Emotions Trigger Digital Activism	305
Cybersexism	Cybersexism	332
brand eins - Juergen Erbeldinger	brand eins - Juergen Erbeldinger	341
Building a web we can trust	Building a web we can trust	199
Speech at scale	Speech at scale	254
brand eins - Gunter Dueck	brand eins - Gunter Dueck	410
Iron Sky	Iron Sky	220
Making-of R ha	Making-of R ha	212
Comic Misunderstanding A conversation with Graham Linehan IT Crowd 	Comic Misunderstanding A conversation with Graham Linehan IT Crowd 	497
Überraschungsvortrag II	Überraschungsvortrag II	865
Die maschinenlesbare Regierung - Eine kritische Analyse zur Gegenwart von Open Data und Open Goverment in Deutschland	Die maschinenlesbare Regierung - Eine kritische Analyse zur Gegenwart von Open Data und Open Goverment in Deutschland	224
Open Data und was hat das mit mir zu tun?	Open Data und was hat das mit mir zu tun?	123
openPlanB - Stufe 2	openPlanB - Stufe 2	91
Opening Public Transport in Berlin	Opening Public Transport in Berlin	124
Open Data Culture - Creating the Cultural Commons	Open Data Culture - Creating the Cultural Commons	112
Freedom of speech nipples and the rule of law	Freedom of speech nipples and the rule of law	93
Personal Data: Nothing to hide?	Personal Data: Nothing to hide?	110
Stimmt das? Check mit dem ZDF die Fakten im Wahlkampf	Stimmt das? Check mit dem ZDF die Fakten im Wahlkampf	195
Das Buch muss überwunden werden - Digitales Utopia oder eher El Dorado?	Das Buch muss überwunden werden - Digitales Utopia oder eher El Dorado?	140
Wikipedia: wo User geblockt Artikel gelöscht und Reputationen zerstört werden	Wikipedia: wo User geblockt Artikel gelöscht und Reputationen zerstört werden	168
Das heilige Abendmahl	Das heilige Abendmahl	61
Community Organizing - lessons from Obama for America 2012	Community Organizing - lessons from Obama for America 2012	270
Political Advocacy and the Internet	Political Advocacy and the Internet	166
403 Forbidden: A Hands on Experience of the Iranian Internet	403 Forbidden: A Hands on Experience of the Iranian Internet	114
Silly jokes or game changers? A live international comparison of political memes.	Silly jokes or game changers? A live international comparison of political memes.	134
The Revolution of Jokes	The Revolution of Jokes	73
The story of Baladna FM: How a Syrian online radio station is broadcasting against the regime and has to deal with hacker attacks by the Syrian Electronic Army	The story of Baladna FM: How a Syrian online radio station is broadcasting against the regime and has to deal with hacker attacks by the Syrian Electronic Army	203
Personal Revolutions Along the Nile	Personal Revolutions Along the Nile	109
Boom vs. Culture Clash Understanding online in South East Asia	Boom vs. Culture Clash Understanding online in South East Asia	83
Muslimische BloggerInnen schaffen Gegenöffentlichkeit	Muslimische BloggerInnen schaffen Gegenöffentlichkeit	68
Facebook: vom Revolutionsmacher zum Revolutionsgegner?	Facebook: vom Revolutionsmacher zum Revolutionsgegner?	85
TEN CITIES Project: Clubculture IN SIDE OUT	TEN CITIES Project: Clubculture IN SIDE OUT	26
Innovationsbeschleuniger gesucht! Wie wär s mit Barrierefreiheit?	Innovationsbeschleuniger gesucht! Wie wär s mit Barrierefreiheit?	125
Mehrwert oder Barriere Wie lassen sich mobile Endgeräte für alle zugänglich machen und wo entsteht Innovation?	Mehrwert oder Barriere Wie lassen sich mobile Endgeräte für alle zugänglich machen und wo entsteht Innovation?	518
Code Literacy Verstehen was uns online lenkt	Code Literacy Verstehen was uns online lenkt	517
Algorithmen-Ethik	Algorithmen-Ethik	261
Finanzblogs: Intellektuelle Elite oder verständliches Massenmedium?	Finanzblogs: Intellektuelle Elite oder verständliches Massenmedium?	211
